Smartphone;Tamanho;Algoritmo;Energia;Erro
GalaxyS4;8,5 MP;AES 128;0,80245;0,00759
GalaxyS4;8,5 MP;AES 192;0,83244;0,01469
GalaxyS4;8,5 MP;AES 256;0,8437;0,0085
GalaxyS4;8,5 MP;AES+RSA;0,83425;0,01012
GalaxyS4;8,5 MP;Sem Cripto;0,78248;0,00859
MotoX Style;8,5 MP;AES 128;0,71752;0,02258
MotoX Style;8,5 MP;AES 192;0,73431;0,01139
MotoX Style;8,5 MP;AES 256;0,8009;0,00891
MotoX Style;8,5 MP;AES+RSA;0,73431;0,02438
MotoX Style;8,5 MP;Sem Cripto;0,76725;0,01735
