Smartphone;Tamanho;Algoritmo;Energia;Erro
GalaxyS4;3 MP;AES 128;0,81851;0,01119
GalaxyS4;3 MP;AES 192;0,82063;0,01303
GalaxyS4;3 MP;AES 256;0,83962;0,01157
GalaxyS4;3 MP;AES+RSA;0,82738;0,02335
GalaxyS4;3 MP;Sem Cripto;0,81027;0,01424
MotoX Style;3 MP;AES 128;0,63742;0,02531
MotoX Style;3 MP;AES 192;0,70709;0,01168
MotoX Style;3 MP;AES 256;0,70567;0,0163
MotoX Style;3 MP;AES+RSA;0,63721;0,01556
MotoX Style;3 MP;Sem Cripto;0,63311;0,00926
