Smartphone;Tamanho;Algoritmo;Tempo;Erro
GalaxyS4;8,5 MP;AES 128;9,5994;0,2193
GalaxyS4;8,5 MP;AES 192;10,5022;0,3852
GalaxyS4;8,5 MP;AES 256;11,1839;0,464
GalaxyS4;8,5 MP;AES+RSA;10,3038;0,5216
GalaxyS4;8,5 MP;Sem Cripto;9,4765;0,2324
MotoX Style;8,5 MP;AES 128;10,3416;0,1239
MotoX Style;8,5 MP;AES 192;10,9541;0,2207
MotoX Style;8,5 MP;AES 256;12,6344;0,2503
MotoX Style;8,5 MP;AES+RSA;10,5275;0,2225
MotoX Style;8,5 MP;Sem Cripto;10,5974;0,215
