Smartphone;Tamanho;Algoritmo;Energia;Erro
GalaxyS4;2 MP;AES 128;0,62471;0,01923
GalaxyS4;2 MP;AES 192;0,64885;0,02166
GalaxyS4;2 MP;AES 256;0,6492;0,0179
GalaxyS4;2 MP;AES+RSA;0,67792;0,03597
GalaxyS4;2 MP;Sem Cripto;0,64751;0,0195
MotoX Style;2 MP;AES 128;0,56329;0,02052
MotoX Style;2 MP;AES 192;0,57434;0,02347
MotoX Style;2 MP;AES 256;0,58482;0,02733
MotoX Style;2 MP;AES+RSA;0,54324;0,02538
MotoX Style;2 MP;Sem Cripto;0,57508;0,0214
