Smartphone;Tamanho;Algoritmo;Energia;Erro
GalaxyS4;8 MP;AES 128;0,51135;0,01189
GalaxyS4;8 MP;AES 192;0,56258;0,01195
GalaxyS4;8 MP;AES 256;0,55113;0,01105
GalaxyS4;8 MP;AES+RSA;0,53149;0,00775
GalaxyS4;8 MP;Sem Cripto;0,53983;0,00984
MotoX Style;8 MP;AES 128;0,34735;0,0113
MotoX Style;8 MP;AES 192;0,44438;0,01715
MotoX Style;8 MP;AES 256;0,43946;0,01299
MotoX Style;8 MP;AES+RSA;0,42159;0,00951
MotoX Style;8 MP;Sem Cripto;0,34408;0,00949
