IBK_k_=_5 , 0.935279805352798 , 0.9638383838383836 , 0.9472069727062973 , 0.06472019464720198 , 0.03616161616161617 , 0.9554348826981524 , 0.950883002207506 , 
J48_pruned , 0.9311435523114358 , 0.9856565656565653 , 0.94521600266629 , 0.06885644768856451 , 0.014343434343434354 , 0.9649895329642847 , 0.9609271523178812 , 
J48_unpruned , 0.9343065693430659 , 0.9735353535353535 , 0.9469888401138772 , 0.06569343065693432 , 0.026464646464646472 , 0.9600462853595653 , 0.9557395143487862 , 
JRIP_pruned , 0.9197080291970808 , 0.991515151515151 , 0.9369972466077495 , 0.08029197080291972 , 0.008484848484848507 , 0.9634794827302671 , 0.9589403973509938 , 
JRIP_unpruned , 0.9277372262773724 , 0.9808080808080809 , 0.9423701108423537 , 0.0722627737226278 , 0.01919191919191919 , 0.9611876009397594 , 0.95673289183223 , 
ZERO_R , 0.0 , 1.0 , 0.5463576158940401 , 1.0 , 0.0 , 0.7066381156316911 , 0.5463576158940401 , 
NAIVE_BAYES , 0.8927007299270073 , 0.9389898989898987 , 0.9133902808556051 , 0.10729927007299267 , 0.061010101010100994 , 0.9259948981152655 , 0.9179911699779246 , 
SMO_rbf , 0.627737226277372 , 1.0 , 0.7638888888888892 , 0.3722627737226278 , 0.0 , 0.8661417322834641 , 0.8311258278145698 , 
SMO_poly2 , 0.8929440389294404 , 0.9507070707070706 , 0.914529442252331 , 0.1070559610705596 , 0.049292929292929284 , 0.9322448818097804 , 0.9245033112582777 , 
SMO_default , 0.8647201946472016 , 0.9741414141414142 , 0.8966212516238564 , 0.13527980535279804 , 0.02585858585858587 , 0.9336553642652028 , 0.924503311258278 , 
